ДЖОВАННИ	А что тут странного?
ТАРДЕЛЛИ	Странно, прошло уже восемь дней, а моя дочь не появляется дома, и даже не позвонила…
МАТЬ	Да вы не волнуйтесь, наверно пошла в гости к подруге.
ТАРДЕЛЛИ	Скорее всего. А к вам она, случайно, не заходила?
ОТЕЦ	Случайно в этом мире ничего не происходит. Не так ли, Урбан?
КАРДИНАЛ	На всё воля Божья!
ТАРДЕЛЛИ	Просто я подумал, Кристина ведь так дружна с Антонио…
ОТЕЦ	Ну и что?
МАТЬ	А действительно! Антонио даже когда-то сочинил любовные стихи и посвятил Кристине. Сынок, прочти синьору Тарделли.
СЫН	Сидим мы у речки с тобою вдвоём. Бьются сердечки, течёт водоём.
ТАРДЕЛЛИ	Юноша, вы уже где-то публиковались?
МАТЬ	Вот и я говорю, ты мог бы стать писателем.
СЫН	Но я хочу быть лесорубом.
ОТЕЦ	Не надо начинать снова!
ТАРДЕЛЛИ	Я мог бы поговорить со знакомым издателем. Кстати, Антонио, возможно ты видел Кристину в школе?
СЫН	Видел. Она ходит туда почти каждый день.
ТАРДЕЛЛИ	Тогда, будь любезен, передай ей, пусть заберёт деньги на карманные расходы, иначе придётся пожертвовать их церкви. Извините, синьор Урбан.
КАРДИНАЛ	Благослови вас Господь!
ТАРДЕЛЛИ	А вообще-то, я зашёл спросить насчёт вашей коллекции…
МАТЬ	Сожженных спичек?
