А НАРЫШКИН	То есть с той же Visa, с того же MasterCard?
И ЖЕГУЛЁВ	Да.
М ЗАЙЦЕВА	Есть карта ПРО100, которая оформляется здесь и спокойно с ней можно расплачиваться.
И ЖЕГУЛЁВ	Почему я должен какую-то ПРО100 вообще какую-то непонятную карту специально?..
М ЗАЙЦЕВА	Нет, Илья, есть много мест, где сложности с «пластиком»…
И ЖЕГУЛЁВ	Где?
М ЗАЙЦЕВА	В Абхазии.
И ЖЕГУЛЁВ	Давайте еще какие-нибудь непризнанные… Я-то ехал – считал, как мне говорят, что это регион России.
М ЗАЙЦЕВА	Это и есть регион России, но, когда я ехала, мы посмотрели в интернете и поняли, что такие проблемы есть. Но, если они есть, их все равно не отменить. Если для вас это принципиально, то ведь можно же и не ехать, ведь нам никого, как мы выяснили, не загоняют в Крым. Я бы, может быть, и хотела, чтобы меня кто-то насильно отправил туда.
	Я закончу про карточки. Расплатиться, действительно, нам не удавалось в магазине, в ресторане…
И ЖЕГУЛЁВ	Даже MasterCard?
